5659,日本精線(株),
5701,日本軽金属(株),
5702,(株)大紀アルミニウム工業所,
5706,三井金属,
5707,東邦亜鉛(株),
5711,三菱マテリアル(株),
5713,住友金属鉱山(株),
5714,DOWAホールディングス(株),
5715,古河機械金属(株),
5726,(株)大阪チタニウムテクノロジーズ,
5727,東邦チタニウム(株),
5738,住友軽金属工業(株),
5741,古河スカイ(株),
5801,古河電気工業(株),
5802,住友電気工業(株),
5803,(株)フジクラ,
5805,昭和電線ホールディングス(株),
5807,東京特殊電線(株),
5809,タツタ電線(株),
5812,日立電線(株),
5815,沖電線(株),
5819,カナレ電気(株),
5821,平河ヒューテック(株),
5851,リョービ(株),
5857,アサヒホールディングス(株),
5901,東洋製罐(株),
5902,ホッカンホールディングス(株),
5909,(株)コロナ,
5911,(株)横河ブリッジホールディングス,
5912,日本橋梁(株),
5915,(株)駒井ハルテック,
5917,(株)サクラダ,
5923,高田機工(株),
5929,三和ホールディングス(株),
5930,文化シヤッター(株),
5936,東洋シヤッター(株),
5938,(株)LIXILグループ,
5942,日本フイルコン(株),
5943,(株)ノーリツ,
5946,(株)長府製作所,
5947,リンナイ(株),
5949,ユニプレス(株),
5951,ダイニチ工業(株),
5957,日東精工(株),
5958,三洋工業(株),
5959,岡部(株),
5963,日立ツール(株),
5974,中国工業(株),
5975,東プレ(株),
5976,ネツレン(株),
5981,東京製綱(株),
5988,(株)パイオラックス,
5991,ニッパツ,
5992,中央発條(株),
5998,(株)アドバネクス,
6005,三浦工業(株),
6013,(株)タクマ,
6101,(株)ツガミ,
6103,オークマ(株),
6104,東芝機械(株),
6113,(株)アマダ,
6118,アイダエンジニアリング(株),
6135,(株)牧野フライス製作所,
6136,OSG,
6138,ダイジェット工業(株),
6140,旭ダイヤモンド工業(株),
6141,(株)森精機製作所,
6146,(株)ディスコ,
6151,日東工器(株),
6201,(株)豊田自動織機,
6203,豊和工業(株),
6205,OKK,
6208,(株)石川製作所,
6210,東洋機械金属(株),
6217,津田駒工業(株),
6218,エンシュウ(株),
6222,(株)島精機製作所,
6247,(株)日阪製作所,
6250,(株)やまびこ,
6262,ペガサスミシン製造(株),
6268,ナブテスコ(株),
6269,三井海洋開発(株),
6272,レオン自動機(株),
6273,SMC(株),
6274,(株)新川,
6277,ホソカワミクロン(株),
6278,ユニオンツール(株),
6282,オイレス工業(株),
6287,サトーホールディングス(株),
6291,日本エアーテック(株),
6293,日精樹脂工業(株),
6298,ワイエイシイ(株),
6301,コマツ,
6302,住友重機械工業(株),
6305,日立建機(株),
6306,日工(株),
6309,巴工業(株),
6310,井関農機(株),
6315,TOWA(株),
6316,(株)丸山製作所,
6317,(株)北川鉄工所,
6319,(株)シンニッタン,
6326,(株)クボタ,
6328,荏原実業(株),
6330,東洋エンジニアリング(株),
6331,三菱化工機(株),
6332,月島機械(株),
6333,(株)帝国電機製作所,
6335,(株)東京機械製作所,
6339,新東工業(株),
6340,澁谷工業(株),
6345,(株)アイチコーポレーション,
6349,(株)小森コーポレーション,
6351,(株)鶴見製作所,
6355,住友精密工業(株),
6358,酒井重工業(株),
6361,荏原,
6362,(株)石井鐵工所,
6363,(株)酉島製作所,
6366,千代田化工建設(株),
6367,ダイキン工業(株),
6368,オルガノ(株),
6369,トーヨーカネツ(株),
6370,栗田工業(株),
6371,(株)椿本チエイン,
6373,大同工業(株),
6375,日本コンベヤ(株),
6376,日機装(株),
6378,木村化工機(株),
6379,新興プランテック(株),
6381,アネスト岩田(株),
6383,(株)ダイフク,
6390,(株)加藤製作所,
6393,油研工業(株),
6395,(株)タダノ,
6406,フジテック(株),
6407,CKD(株),
6409,(株)キトー,
6412,(株)平和,
6413,理想科学工業(株),
6417,(株)SANKYO,
6418,日本金銭機械(株),
6419,(株)マースエンジニアリング,
6420,福島工業(株),
6428,(株)オーイズミ,
6430,ダイコク電機(株),
6436,アマノ(株),
6440,JUKI(株),
6444,サンデン(株),
6445,蛇の目ミシン工業(株),
6448,ブラザー工業(株),
6454,マックス(株),
6455,(株)モリタホールディングス,
6457,グローリー(株),
6459,大和冷機工業(株),
6460,セガサミーホールディングス(株),
6461,日本ピストンリング(株),
6462,(株)リケン,
6463,TPR(株),
6465,ホシザキ電機(株),
6470,大豊工業(株),
6471,日本精工(株),
6472,NTN(株),
6473,(株)ジェイテクト,
6474,(株)不二越,
6479,ミネベア(株),
6480,日本トムソン(株),
6481,THK(株),
6482,(株)ユーシン精機,
6485,前澤給装工業(株),
6486,イーグル工業(株),
6489,前澤工業(株),
6490,日本ピラー工業(株),
6498,(株)キッツ,
6501,(株)日立製作所,
6502,(株)東芝,
6503,三菱電機(株),
6504,富士電機(株),
6505,東洋電機製造(株),
6506,(株)安川電機,
6507,シンフォニアテクノロジー(株),
6508,(株)明電舎,
6513,オリジン電気(株),
6517,デンヨー(株),
6581,日立工機(株),
6584,三桜工業(株),
6586,(株)マキタ,
6588,東芝テック(株),
6590,芝浦メカトロニクス(株),
6592,マブチモーター(株),
6594,日本電産(株),
6620,宮越ホールディングス(株),
6621,(株)高岳製作所,
6622,(株)ダイヘン,
6630,ヤーマン(株),
6632,(株)JVCケンウッド,
6640,第一精工(株),
6641,日新電機(株),
6644,大崎電気工業(株),
6645,オムロン(株),
6651,日東工業(株),
6652,IDEC(株),
6674,(株)ジーエス・ユアサ　コーポレーション,
6675,サクサホールディングス(株),
6676,(株)メルコホールディングス,
6678,(株)テクノメディカ,
6701,NEC,
6702,富士通(株),
6703,OKI,
6704,岩崎通信機(株),
6706,電気興業(株),
6707,サンケン電気(株),
6715,(株)ナカヨ通信機,
6718,アイホン(株),
6723,ルネサスエレクトロニクス(株),
6724,セイコーエプソン(株),
6727,(株)ワコム,
6728,(株)アルバック,
6730,(株)アクセル,
6731,(株)ピクセラ,
6737,(株)ナナオ,
6741,日本信号(株),
6742,(株)京三製作所,
6744,能美防災(株),
6745,ホーチキ(株),
6751,日本無線(株),
6752,パナソニック(株),
6753,シャープ(株),
6754,アンリツ(株),
6755,(株)富士通ゼネラル,
6756,(株)日立国際電気,
6758,ソニー(株),
6762,TDK(株),
6763,帝国通信工業(株),
6767,ミツミ電機(株),
6768,(株)タムラ製作所,
6770,アルプス電気(株),
6771,池上通信機(株),
6773,パイオニア(株),
6779,日本電波工業(株),
6788,(株)日本トリム,
6789,ローランド　ディー．ジー．(株),
6791,日本コロムビア(株),
6794,フォスター電機(株),
6796,クラリオン(株),
6798,SMK(株),
6800,(株)ヨコオ,
6801,東光(株),
6803,ティアック(株),
